602,16,1
Safe,0.0,602.0,................................................................
Road,-1.0,1161.0,x....x....xxx......x.....x.....x.....x......x....xxx...x...x....
Road,3.0,1118.0,x...x....x.....xxx....xxx...x......x......x...xx......x.....x...
River,1.0,1075.0,x...xxx......x....x....xxx....x.....xxx...x......x...xxx.....x..
Road,-3.0,1032.0,x...x...x.....x.....x.....x......xxx......x......x......xx...x..
Road,2.0,989.0,x.....x......x....x.....x.....x...x...x....x......x......xxx....
Road,-1.0,946.0,xxx...x....xxx.....x...xxx.....x......x...x...x...x......x....x.
Safe,0.0,301.0,................................................................
Road,3.0,860.0,x....x...xx...x......xxx.....xx......x....xxx...x....x....x.....
Road,-1.0,817.0,x...x....xx....xx......xx......x......x....x...x.....x....x...x.
Road,4.0,774.0,xx......x...x....xx...xx.....xx....x...x....xxx.....x......x....
Road,1.0,731.0,x...x...x......x...x...xx...x....x...x......x....xxx....x.....x.
Road,2.0,688.0,x......x....x......x....xxx...x....x...x....xxx.....x.....x.....
Road,0.0,645.0,xxx...x......x.....x.....x...x......x.....xx.....xx......x....x.
Safe,0.0,0.0,................................................................
River,3.0,559.0,x.....x...x...xx...x...x......xxx.....x...x......x.....x...x....
River,4.0,516.0,x...x....x.....x...x......x......x...x.....xx....xxx.....xxx....
Road,3.0,473.0,xx....x......x......xx...x....x...x...x...x...x......xx....x....
Road,-2.0,430.0,x...xxx...xx...x...xxx...x...xx....x...x......x....x....x.....x.
Road,-1.0,387.0,x...x.....xxx......x.....x......x.....xxx....x.....x...x....x...
Road,1.0,344.0,x....x.....x......xx....x......xxx......x...x.....x.....x.......
Safe,0.0,-301.0,................................................................
Road,-1.0,258.0,x......x.....xx....xxx.....x......xx....x...x.....x......xxx....
Road,-2.0,215.0,x......x...x....x....x.....xx....x......x.....x...x....xxx......
Road,4.0,172.0,x....x....xxx.....x...x.....x......xxx...xx......xx.....x...x...
Road,2.0,129.0,xx...xxx....xxx...x....x......xxx.....x....x...x....xxx......x..
